AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,filename,emotion
0.3204340040683746,0.4788603186607361,0.3723357319831848,0.3886164426803589,0.2277435064315796,0.0,0.3056414723396301,0.0158953703939914,1.0,0.1270866841077804,0.5495721697807312,0.4231336712837219,0.4760308563709259,0.0,0.4643123745918274,0.415142297744751,0.296207457780838,0.1725616008043289,0.1392532140016555,0.3293203115463257,train_07331_aligned.jpg,1
0.558073103427887,0.6979036331176758,0.3591163754463196,0.4502565860748291,0.1966417282819748,0.0,0.2906888723373413,0.2176354825496673,0.0,0.2278281301259994,0.5254222750663757,0.4534573853015899,0.3721588850021362,1.0,0.5529007315635681,0.0599812157452106,0.9679160714149476,0.3891947567462921,0.2026973366737365,0.3448559641838074,train_07119_aligned.jpg,1
0.5588325262069702,0.6616097092628479,0.1232311129570007,0.4778233766555786,0.1703462451696396,1.0,0.2695987522602081,0.0168345719575881,1.0,0.0860032439231872,0.2921162545681,0.0705647692084312,0.3816905617713928,0.0,0.2576815485954284,0.3501750230789184,0.4077247977256775,0.1392448246479034,0.2047525644302368,0.3321951627731323,train_06497_aligned.jpg,1
0.3069762587547302,0.3168487846851349,0.3960496187210083,0.2685666084289551,0.3084030449390411,0.0,0.4618085324764251,0.0122025841847062,0.0,0.1755852699279785,0.4417072832584381,0.3989083170890808,0.3450551033020019,0.0,0.339376151561737,0.3442320227622986,0.1845253556966781,0.0462465621531009,0.6872184872627258,0.3007803559303283,train_07251_aligned.jpg,1
0.4135808646678924,0.2586527466773987,0.1175362467765808,0.2904442846775055,0.8794397115707397,1.0,0.3963024616241455,0.8985509276390076,1.0,0.9249221086502076,0.6641110777854919,0.3685496747493744,0.3651619255542755,1.0,0.3627459704875946,0.0403327196836471,0.9997721314430236,0.3962530195713043,0.1634816527366638,0.4888106286525726,train_07727_aligned.jpg,1
0.3969372808933258,0.3929878175258636,0.2679520547389984,0.4326690435409546,0.3229652345180511,1.0,0.4152280390262604,0.0497452095150947,0.0,0.3781870007514953,0.5798888802528381,0.2233535647392273,0.488655149936676,1.0,0.3276768922805786,0.2053093016147613,0.997872829437256,0.3468460738658905,0.0644502490758895,0.3219123482704162,train_01676_aligned.jpg,1
0.368603765964508,0.3448934257030487,0.3729315400123596,0.2925936877727508,0.2594647407531738,0.0,0.3425100147724151,0.0443069152534008,0.0,0.1620120257139206,0.296079933643341,0.3874018490314483,0.5735320448875427,0.0,0.6461045742034912,0.4626461267471313,0.3560032248497009,0.0899770632386207,0.557876467704773,0.1219675242900848,train_04319_aligned.jpg,1
0.502723753452301,0.4915760159492492,0.0993720665574073,0.3389031887054443,0.225021481513977,0.0,0.3345686197280884,0.0421250313520431,1.0,0.1514043807983398,0.459205687046051,0.3907214403152466,0.5033608078956604,0.0,0.4365220665931701,0.5854236483573914,0.5389670133590698,0.1844363510608673,0.4811909198760986,0.3192311525344848,train_06643_aligned.jpg,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train_07961_aligned.jpg,1
0.6069234609603882,0.6000239253044128,0.0566404350101947,0.3819669187068939,0.1885248273611068,0.0,0.2175358235836029,0.1391239017248153,1.0,0.0458907708525657,0.4089422523975372,0.2744368612766266,0.423528105020523,1.0,0.5611233115196228,0.3724546432495117,0.8741610646247864,0.5245561003684998,0.6271238327026367,0.3404154777526855,train_06940_aligned.jpg,1
